text,source
"is too boring and The ads you keep playing again and again between songs, and then at the end, become really irritating and completely ruin the mood. Not everyone is going to pay for listening to music. Nowadays there are dozens of apps available for listening to songs. That's why I'll delete this app if the ads don't stop.""",PlayStore
i used to love spotify both not anymore! how can i stream music with my data for 3 minutes and listen to advertisements for 10 minutes? it's cazy,PlayStore
"I made the payment three times, but the premium didn't unlock.",PlayStore
Not good,PlayStore
"Keeps crashing, used to be great",PlayStore
"Price increase and the new widget doesn't work at all. Thanks so much, Spotify.",PlayStore
it is a very good musical app until it ask for the premium and we can't play our fav songs also even we can't skip also they ask for the premium... than what is the use of this app??,PlayStore
My app keeps shutting down while in use since the latest update on 6/16/26,PlayStore
"since update, app keeps crashing or not loading when opening unless offline. already reinstalled it twice and issue still happens. edit - Its obvious you didn't read my post correctly if you have suggested to do something I've already tried.",PlayStore
"There is a limit on listening to the song and it is also a big issue in skipping when you play an ad after a song, please do not limit listening to the song.",PlayStore
"Been happily using Spotify Premium for many good years. I recently have had to contend with advertisements and banners popping up, which is fine with any other software or app, but when you specifically pay JUST to NOT have adverts it can be quite frustrating. Edit: The advertisements are inbetween podcasts and are independent of the host's own advertising, it shows up as ""Advertisement 1 of 1"" right after a podcast and is not part of that podcast. I have confirmed my plan is a paid plan.",PlayStore
very good 👍,PlayStore
My music keeps on restarting from the start.,PlayStore
this app Suck just uninstall it or keep it if u r rich.,PlayStore
cash grab cant even play a song it just skips and plays some random song i dont even want to hear. get it sorted what a joke,PlayStore
it's too good and awesome but it oftens says to take subscription.,PlayStore
so many adds and very inconvenient,PlayStore
"Even when I paid for premium, the app glitches, finally, I can get rid of it because my favorite podcast is on all the platforms now.",PlayStore
why does Spotify always pause the song automatically i paid for premium,PlayStore
so many ads,PlayStore
"I do not recommend Spotify to anymore. There is ZERO customization on the subscribers end. They get rid of features that link you to your followed podcasts which now make it impossible to find new episodes. They constantly ""recommend"" garbage podcasts based on what you listen to, which isn't even close. It's more like the podcasters that they paid a bunch of money to who cant get the followers who they are shoving down your throat. ALL OF THIS FOR A HIGH PRICE, NOT WORTH IT.",PlayStore
"the ads are much and frustrating, and they keep repeating ads too",PlayStore
"I question why I'm paying for a service to listen to music offline, and the app hardly works offline. Making playlists shouldn't be a hassle, and the shuffle is garbage",PlayStore
now crashes when I try to search.,PlayStore
really poor quality app,PlayStore
greedy company. removed my dj x feature on my student plan nou i need to pay 5 times the price just to get it back,PlayStore
app has been getting worse. updated and now won't stay open time to kill my subscription. sucka when u pay and can't even use offline downloaded songs half the time,PlayStore
"Give us back the smaller widget. I do not want Spotify taking up a third of my home screen. also, there's no way to tell the app ""I really don't like this band, stop playing their music""",PlayStore
This app is horrible! The fact that I am straight up forced to buy premium is wild! This deserves 1 star!,PlayStore
do not play the same song which is searching,PlayStore
worst privacy to date,PlayStore
v very bad.,PlayStore
"worst app, it's like i need Spotify premium to even play smth. I'm in a mobile and i can't loop songs unless i have premium, and as a student, I'm not permitted to buy any subscriptions. we know you need income, but genuinely stop. The amount of ads is just horrific, every two songs, it's a fricking ad. improve this Spotify, really.",PlayStore
"Spotify desperately needs a lyric update like apple music where the words follow along, and PLEASE update the add the Playlist button to not put songs directly into liked songs and just put the menu up so I can chose where it is added",PlayStore
I really do NOT recommend this app.,PlayStore
"I love Spotify i Always use It for songs and everything there's everything but today I opened Spotify and I kept getting error I couldn't search anything so I log out and tried to log in back but it became even worse now I couldn't even log in Beacuse of this ""error"" now I can't listen to songs I lost my old account and literally hate this happening",PlayStore
"Latest update bricked the widget. It forces you to switch to bigger widget, which doesn't display any images.",PlayStore
uygulama son günlerde kasmaya başladı.,PlayStore
Keeps crashing for no reason,PlayStore
issues every week,PlayStore
"what has happened? plays music ok, but not podcasts?",PlayStore
"new update introduced a lot of bugs, searching for songs comstantly errors.",PlayStore
"Paying for the premium at one point was worth it. I continue to have issues with the player. The app will stop playing music and close. This started 2 or 3 months ago. I have reached out to customer support and no response. I have done everything on my end. Uninstall then re-install and this has done nothing. Deleted cache, nothing. Today it closed 5-10 times on a 30 mins drive. This is not only unsafe as I know have to focus on my phone and not the road. Started looking for another service.",PlayStore
"it keeps glitching and saying theres something wrong every time i search a song , its been doing that on and off for like months i thought I fixed it but no it keeps happening and i know theres nothing wrong with my internet connection so idk what's going on with this app",PlayStore
it won't let me log into my account at all :( the app isn't working properly and I wanted to watch bts's new MV.... please fix it asap. I legit have premium as well.,PlayStore
Terrible on samsung galaxy flip 7. I used to be an apple user so I don't know if it's an android issue but the app always says i'm offline so I can't play music!,PlayStore
not good,PlayStore
the apps pretty good but without premium you can't do nearly anything except press play and listen to what you've been given 😔,PlayStore
can login trash app,PlayStore
"whats wrong with this app its not loading ig their is bug the music is not playing even I m in my best network area , kindly fix it team.",PlayStore
I haven't used this app for 3 years and now I'm trying to login in my old account and even in a new account it's just showing network error. I'm exhausted from logging 20 timessssssssss,PlayStore
susah nk mampos nk login apa bende punya sistem cikai betul,PlayStore
hate it absolutely hate it and i have a friends circle of 25 and i enquired everyone about spotify and everyone hated it as almost all its features are paid,PlayStore
all of a sudden it's not working.,PlayStore
"i ve reinstalled the app and im no longer able to log into it, but alteast i can still pay for my subscription 😅",PlayStore
"Multiple functions don't work, including search. There's just a ""Something went wrong. Try again?"" message in various parts of the app. And no Help/Support option easily found in the app. My app is updated. I have cleared cache and restarted.",PlayStore
lol app,PlayStore
There should be loseless music subscription option for individual also,PlayStore
new widget is kinda ugly and doesnt even work,PlayStore
they should just make it where you have to pay for it you get like 4 or 5 adds most the time after every 3 songs and when you get your 30 minute add free you have to listen to the same play list or it won't work also very glitchy I have perfect internet and it wouldn't let me look up a song or look at a lot of stuff just a very dumb app id rather listen to music on YouTube at least I can skip the add most the time,PlayStore
gak kebagian Lossless. gabisa di pilih Lossless nya.,PlayStore
"it keeps on reminding me that my premium plan is paused and asks me if i don't wanna renew it, that pop up even stops my music as it's playing",PlayStore
"if you all STOP RISING YOUR PRICES you all would probably get 5 stars 9.99USD was perfect. Greed is addictive isn't it??? Stop with all the ads you all blew it,fumble,drop it all with prices rise so no I'm not going to to subscribe back to you guys!!!!!!!!!",PlayStore
absolute trash,PlayStore
"The new widget sucks. Never works, always buffering. Bring back the old one.",PlayStore
Update to widget broke it entirely. No longer opens the app. Worse functionality than replaced widget.,PlayStore
A lot of commercials. I'll play music from my SD card more often.,PlayStore
"I first would like to say i put in a rating in 2024 that disappeared, it was also one start because Spotify makes a set amount of songs you can choose, when you run out of these, you can't choose anything, meaning if you search a song amd play it, the song won't play, instead 15 other songs you don't like will play, it's been 2 years and my point still stands. fix your app, stop caring only about money, your a multimillion dollar company/app and you force people to pay for a subscription",PlayStore
lmao pay to win music app,PlayStore
"The way this app somehow gets worse and worse with every update is almost impressive. It's gone from slow, due to the huge amount of new, unnecessary ""features,"" to damn near unusable. I've had to uninstall and reinstall the app 4 times in the last 7 days just to use it. If they spent half as much time optimizing as they do adding stuff that nobody asked for, we might actually have a good, stable app. But I'm only a user, not an investor, so my input doesn't matter. 🤷‍♂️",PlayStore
bad app,PlayStore
"all of mainstream songs are there, which is amazing atleast for me. The only flaw is that you have to listen to 5 add's per 2 songs and cant choose what songs you want to listen to.",PlayStore
"App is unusable after latest download, constantly crashing after opening the app. This happened with an update about a month ago as well, after they added time syncing lyrics. Cancelling my paid subscription if this isn't rectified soon.",PlayStore
update: another update saying I'm offline. funnily enough I'm using the same device and connection to post this update... unbelievably bad Devs and deployment of this app. cancelled membership and asked PayPal to refund me my subscription costs yet another update that breaks anything. I'll continue to crack this absolute joke of an app until it actually works. I've rescinded my premium membership as the relentless ads make it pointless.,PlayStore
"why is it when I updated your app that everything now buffers or refuses to play or doesn't show up or starts to play then just stops I don't pay a subscription for this app for it to not work right if it keeps doing it and I can't play my music that is downloaded without it messing up and not playing I will just say F it and just sue Spotify I'm a patient person to a point.(edit: it likes to cut off when I open any other app even Spotify itself, will just bug out and close the app on me.",PlayStore
"Worse over time: 1) Way more unplayable tracks now (hidden til you enable it). It's never explained why. 2) Opted-in by default to share plays with Neilson, even paid users. How do subscribers benefit from this, if at all? 3) I'm nagged to try the new widget... with a nag filling my current one. Thanks, I hate it; it doesn't work and you *broke my working one*. 4) Lossless encoding can't fix all the songs made low quality on purpose (to discourage piracy). 5) NO CHANGELOG IN PLAY 🤨",PlayStore
I'm facing something went wrong issue last one month... pls fix this asap because I'm buying your 3 months plan,PlayStore
Moving away from Premium I had been a premium member for Spotify premium from last 5 years. I did like your service and the app but unfortunately I am moving on to YT music as I had switched from Premium Duo to platinum but after I tried and try to come back to Duo the app doesn't let me come back to the plan. It felt like cheating especially after being a premium member for so long. Bye bye Spotify welcome YT music.,PlayStore
too many ads,PlayStore
I hate this app,PlayStore
it forces to take subscription,PlayStore
this app without subscription not play one many more disgusting,PlayStore
Can you make something like Spotify light? I mean just music without all the random sht. It also became superslow to load since athr last few months...,PlayStore
"please remove your ads ... it's all over all platforms it's annoying...we know, we get it , we have Spotify in our phone ...it's too much",PlayStore
"Spotify ialah aplikasi penstriman muzik yang mudah digunakan, mempunyai koleksi lagu yang besar dan cadangan muzik yang baik. Ia sesuai untuk pengguna yang gemar mendengar muzik setiap hari, tetapi versi percuma mengandungi iklan.",PlayStore
not download,PlayStore
terrible widget experience in android,PlayStore
too much ads ik premium is good but without it a lot of ads come after every 2 min song a five minutes couple of ads is needed to be listened 😕😕,PlayStore
"If I am listening to a podcast series and I am on episode 38, when that finishes I want to listen to episode 39. Why do you play the most recent one? Or sometimes a totally different and unrelated podcast series? Why is it impossible to find things easily on Android Auto?",PlayStore
too many ads,PlayStore
"such a money hungry app, can't even do anything.",PlayStore
app keeps closing isn't an issue on my end that I'm aware of so not sure what's up.,PlayStore
best,PlayStore
Should've been good app but damn greedy just a bit more step to be pay to use,PlayStore
scammer I want to buy the premium and it wouldn't let me buy and end up with 0 money,PlayStore
bruh i cant do anything without premium subscription,PlayStore
good but ads are intolerent and Raigbait all the time in a flow,PlayStore
the new update is making my app crash,PlayStore
"the customer service is a joke, takes forever to get to a person that can actually help solve the issue and even then they can't fix it.",PlayStore
new widget is trash... hardly works...,PlayStore
تطبيق سئ,PlayStore
the amount of adds you put in between i am planning to uninstall this app,PlayStore
"I was debited for individual premium this morning, and I wasn't granted the subscription I need refund please",PlayStore
Very bad,PlayStore
"Best music app until you have to deal with support. I've reported an ""artist"" that was stealing other actual artist's names to promote his AI slops. Support sent me a canned response that was not even an answer to the topic.",PlayStore
"Dear Spotify, Thank you for providing such a wonderful platform. Spotify has finally become legally accessible in Iran 🥲, and we are very happy about it. We would really appreciate it if you could also add Iran to the list of countries eligible for Spotify Premium purchases. This would make things much easier for Iranian users, who currently have to rely on unofficial methods or third-party resellers to subscribe. Thank you❤️",PlayStore
your crummy app starts playing music at 3 am when the app is not open on amy of my devices. garbage.,PlayStore
good,PlayStore
useless,PlayStore
if we can't even choose a single song that we want to listen...then we can't even call it a music app...waste of my phone storage...some lowlife greedy app.,PlayStore
I used to use this app all the time but then the new updates cam rolling in and made the free version terrible I just want old Spotify back!!,PlayStore
"Devs don't understand that 10x more people (including me) would subscribe monthly for 2.99. Instead they only get 1/10th the subscribers at $12.99 and lose about 60% of what they otherwise could be making. Devs also don't understand that force shuffle AND ads are too much. It drives people off the app so they get less ad revenue. If they change subscription cost to 2.99 their sub revenue doubles. If they allow no shuffle, then ad revenue also goes up substantially.",PlayStore
Persistent excessive cache build up is disrupting how I can use my mobile device. Really arrogant. Give me a slider setting to set max cache size.,PlayStore
"deleting this app just because u asking charges for songs , don't agree with this why we pay for songs we adjust with adds ... Gandit takun ghya tumcha app tumchya khoop app ahet je free mdhe songs eiku detat",PlayStore
The app is full of ads only. The worst app to listen to songs💔🤬,PlayStore
Stops playing randomly after a song,PlayStore
